"Теория и история искусства (рус)"&"11.04.2023 11:10"&"11.04.2023 12:30"&"Теория и история искусства (рус) Доцент Карпенко Елена Константиновна  М_ТИИИ_П_459145_1#П#Теория и история искусства  Лекция      512 /Старая Басманная ул., д. 21/4"&""&"512 /Старая Басманная ул., д. 21/4"
"Теория и история искусства (рус)"&"11.04.2023 13:00"&"11.04.2023 14:20"&"Теория и история искусства (рус) Доцент Карпенко Елена Константиновна  М_ТИИИ_П_459145_1#П#Теория и история искусства  Лекция      512 /Старая Басманная ул., д. 21/4"&""&"512 /Старая Басманная ул., д. 21/4"
"Теория культуры -1 (рус)"&"11.04.2023 14:40"&"11.04.2023 16:00"&"Теория культуры -1 (рус) Профессор Доброхотов Александр Львович  М_ТК-_П_459141_1#П#Теория культуры -1  Лекция      online S (3)/Старая Басманная ул., д. 21/4"&""&"online S (3)/Старая Басманная ул., д. 21/4"
"Теория и история искусства (рус)"&"12.04.2023 13:00"&"12.04.2023 14:20"&"Теория и история искусства (рус) Ст. преподаватель Саленков Александр Геннадьевич  М_ТИИИ_Г_459145_2#Г#Теория и история искусства  Семинар      507/Старая Басманная ул., д. 21/4"&""&"507/Старая Басманная ул., д. 21/4"
"Теория культуры -1 (рус)"&"14.04.2023 11:10"&"14.04.2023 12:30"&"Теория культуры -1 (рус) Доцент Кречетова Мария Юрьевна  М_ТК-_Г_459141_2#Г#Теория культуры -1  Семинар      А-312/Старая Басманнаяул., д. 21/4"&""&"А-312/Старая Басманная ул., д. 21/4"
"Теория и история искусства (рус)"&"14.04.2023 13:00"&"14.04.2023 14:20"&"Теория и история искусства (рус) Ст. преподаватель Саленков Александр Геннадьевич  М_ТИИИ_Г_459145_2#Г#Теория и история искусства  Семинар      516/Старая Басманная ул., д. 21/4"&""&"516/Старая Басманная ул., д. 21/4"
